,CommitCommentEvent,CreateEvent,DeleteEvent,ForkEvent,GollumEvent,IssueCommentEvent,IssuesEvent,PullRequestEvent,PushEvent
X_2011_06,27,23,1,45,1,172,93,71,126
X_2011_07,9,1,0,17,0,69,35,12,82
X_2011_08,11,0,0,28,0,95,67,32,94
X_2011_09,3,1,4,18,0,75,41,24,79
X_2011_10,37,9,5,80,1,359,81,332,340
X_2011_11,9,0,0,24,0,114,55,50,135
X_2011_12,15,1,0,26,0,149,70,41,163
X_2012_01,5,2,2,17,2,139,87,40,185
X_2012_02,11,0,0,16,0,114,50,312,87
X_2012_03,3,0,1,10,0,82,31,655,68
X_2012_04,9,0,0,24,0,165,60,1096,101
X_2012_05,61,1,0,21,0,249,58,161,123
X_2012_06,6,1,1,8,0,95,40,41,74
X_2012_07,8,0,0,12,0,207,60,94,96
X_2012_08,5,0,1,15,0,167,51,54,43
X_2012_09,9,1,0,16,0,137,36,86,47
X_2012_10,8,0,0,19,0,149,63,39,62
X_2012_11,35,1,1,19,0,384,131,60,104
X_NA,2,0,0,10,0,51,30,21,61
